"date","close","volume","open","high","low"
"13:38","0.571","1,630","N/A","0.571","0.571"
"2018/01/22","0.5700","49936.0000","0.5844","0.5860","0.5700"
"2018/01/19","0.5746","12810.0000","0.5727","0.5746","0.5726"
"2018/01/18","0.5860","303500.0000","0.5813","0.5860","0.5698"
"2018/01/17","0.5800","4000.0000","0.5756","0.5800","0.5756"
"2018/01/16","0.5724","79510.0000","0.5937","0.5937","0.5700"
"2018/01/12","0.5862","11930.0000","0.5661","0.5885","0.5661"
"2018/01/11","0.5730","7996.0000","0.5900","0.5900","0.5700"
"2018/01/10","0.5964","2970.0000","0.5961","0.5964","0.5924"
"2018/01/09","0.5933","21296.0000","0.5959","0.5966","0.5900"
"2018/01/08","0.5876","3580.0000","0.5900","0.5900","0.5876"
"2018/01/05","0.5730","1804.0000","0.5730","0.5730","0.5730"
"2018/01/04","0.5870","1000.0000","0.5870","0.5870","0.5870"
"2018/01/03","0.5800","6956.0000","0.5757","0.5800","0.5757"
"2018/01/02","0.5798","2670.0000","0.5800","0.5800","0.5770"
"2017/12/29","0.5796","25320.0000","0.5793","0.5796","0.5600"
"2017/12/28","0.5610","18401.0000","0.5600","0.5610","0.5600"
"2017/12/27","0.5701","112525.0000","0.5700","0.5785","0.5700"
"2017/12/26","0.5998","413451.0000","0.6000","0.6000","0.5810"
"2017/12/22","0.5752","84725.0000","0.5900","0.6000","0.5752"
"2017/12/21","0.5551","6148.0000","0.5590","0.5590","0.5551"
"2017/12/20","0.5500","1836.0000","0.5670","0.5670","0.5500"
"2017/12/19","0.5450","15800.0000","0.5450","0.5663","0.5450"
"2017/12/18","0.5400","12000.0000","0.5400","0.5485","0.5400"
"2017/12/15","0.5500","1700.0000","0.5415","0.5500","0.5415"
"2017/12/14","0.5485","80397.0000","0.5500","0.5500","0.5400"
"2017/12/13","0.5500","10300.0000","0.5500","0.5500","0.5400"
"2017/12/12","0.5400","6080.0000","0.5446","0.5446","0.5400"
"2017/12/11","0.5400","0.0000","0.5400","0.5400","0.5400"
"2017/12/08","0.5400","0.0000","0.5400","0.5400","0.5400"
"2017/12/07","0.5400","6000.0000","0.5400","0.5420","0.5400"
"2017/12/06","0.5450","9397.0000","0.5430","0.5671","0.5430"
"2017/12/05","0.5720","6350.0000","0.5537","0.5720","0.5537"
"2017/12/04","0.5500","9301.0000","0.5501","0.5750","0.5500"
"2017/12/01","0.5730","4935.0000","0.5700","0.5730","0.5559"
"2017/11/30","0.5700","10413.0000","0.5715","0.5715","0.5700"
"2017/11/29","0.5650","0.0000","0.5650","0.5650","0.5650"
"2017/11/28","0.5650","2966.0000","0.5650","0.5650","0.5650"
"2017/11/27","0.5609","24725.0000","0.5619","0.5800","0.5580"
"2017/11/24","0.5583","0.0000","0.5583","0.5583","0.5583"
"2017/11/22","0.5583","41500.0000","0.5553","0.5840","0.5553"
"2017/11/21","0.5850","1300.0000","0.5550","0.5850","0.5550"
"2017/11/20","0.5780","0.0000","0.5780","0.5780","0.5780"
"2017/11/17","0.5780","7580.0000","0.5770","0.5780","0.5630"
"2017/11/16","0.5700","40000.0000","0.5800","0.5800","0.5700"
"2017/11/15","0.5590","500.0000","0.5590","0.5590","0.5590"
"2017/11/14","0.5666","0.0000","0.5666","0.5666","0.5666"
"2017/11/13","0.5666","6950.0000","0.5619","0.5936","0.5619"
"2017/11/10","0.5700","2350.0000","0.5824","0.5824","0.5700"
"2017/11/09","0.5740","1679.0000","0.5741","0.5741","0.5740"
"2017/11/08","0.5800","5374.0000","0.5840","0.5840","0.5800"
"2017/11/07","0.5750","0.0000","0.5750","0.5750","0.5750"
"2017/11/06","0.5750","16023.0000","0.5750","0.5760","0.5750"
"2017/11/03","0.5885","5100.0000","0.5984","0.5984","0.5885"
"2017/11/02","0.6000","6633.0000","0.5900","0.6000","0.5900"
"2017/11/01","0.5850","300.0000","0.5850","0.5850","0.5850"
"2017/10/31","0.5879","4865.0000","0.5650","0.5879","0.5650"
"2017/10/30","0.6000","0.0000","0.6000","0.6000","0.6000"
"2017/10/27","0.6000","167.0000","0.6000","0.6000","0.6000"
"2017/10/26","0.5830","21378.0000","0.5830","0.5846","0.5830"
"2017/10/25","0.5701","136.0000","0.5701","0.5701","0.5701"
"2017/10/24","0.5657","0.0000","0.5657","0.5657","0.5657"
"2017/10/23","0.5657","0.0000","0.5657","0.5657","0.5657"
"2017/10/20","0.5657","0.0000","0.5657","0.5657","0.5657"
"2017/10/19","0.5657","650.0000","0.5624","0.5657","0.5609"
"2017/10/18","0.5700","0.0000","0.5700","0.5700","0.5700"
"2017/10/17","0.5700","21969.0000","0.5715","0.5800","0.5700"
"2017/10/16","0.5854","33844.0000","0.5701","0.5870","0.5700"
"2017/10/13","0.5600","16800.0000","0.5600","0.5640","0.5600"
"2017/10/12","0.5440","116.0000","0.5440","0.5440","0.5440"
"2017/10/11","0.5450","13000.0000","0.5501","0.5501","0.5450"
"2017/10/10","0.5501","24000.0000","0.5502","0.5502","0.5501"
"2017/10/09","0.5501","0.0000","0.5501","0.5501","0.5501"
"2017/10/06","0.5501","1238.0000","0.5500","0.5523","0.5500"
"2017/10/05","0.5500","0.0000","0.5500","0.5500","0.5500"
"2017/10/04","0.5500","0.0000","0.5500","0.5500","0.5500"
"2017/10/03","0.5500","7000.0000","0.5600","0.5600","0.5500"
"2017/10/02","0.5400","2000.0000","0.5525","0.5525","0.5400"
"2017/09/29","0.5599","6100.0000","0.5585","0.5600","0.5585"
"2017/09/28","0.5599","7600.0000","0.5611","0.5611","0.5585"
"2017/09/27","0.5672","10100.0000","0.5459","0.5672","0.5459"
"2017/09/26","0.5200","15540.0000","0.5230","0.5230","0.5200"
"2017/09/25","0.5200","5834.0000","0.5470","0.5470","0.5200"
"2017/09/22","0.5470","0.0000","0.5470","0.5470","0.5470"
"2017/09/21","0.5470","6900.0000","0.5520","0.5520","0.5470"
"2017/09/20","0.5220","94763.0000","0.5458","0.5485","0.5220"
"2017/09/19","0.5457","2200.0000","0.5211","0.5457","0.5211"
"2017/09/18","0.5300","11400.0000","0.5499","0.5499","0.5300"
"2017/09/15","0.5300","22143.0000","0.5480","0.5480","0.5300"
"2017/09/14","0.5450","0.0000","0.5450","0.5450","0.5450"
"2017/09/13","0.5450","0.0000","0.5450","0.5450","0.5450"
"2017/09/12","0.5450","9200.0000","0.5311","0.5450","0.5311"
"2017/09/11","0.5303","4100.0000","0.5100","0.5303","0.5100"
"2017/09/08","0.5300","0.0000","0.5300","0.5300","0.5300"
"2017/09/07","0.5300","2020.0000","0.5300","0.5300","0.5300"
"2017/09/06","0.5400","35403.0000","0.5222","0.5400","0.5222"
"2017/09/05","0.5330","11625.0000","0.5518","0.5518","0.5276"
"2017/09/01","0.5491","9186.0000","0.5415","0.5491","0.5400"
"2017/08/31","0.5600","280.0000","0.5600","0.5600","0.5600"
"2017/08/30","0.5557","16060.0000","0.5359","0.5557","0.5325"
"2017/08/29","0.5359","6200.0000","0.5400","0.5400","0.5325"
"2017/08/28","0.5400","2300.0000","0.5430","0.5430","0.5400"
"2017/08/25","0.5503","18081.0000","0.5500","0.5520","0.5500"
"2017/08/24","0.5520","0.0000","0.5520","0.5520","0.5520"
"2017/08/23","0.5520","5000.0000","0.5520","0.5520","0.5520"
"2017/08/22","0.5540","5400.0000","0.5502","0.5540","0.5502"
"2017/08/21","0.5700","3240.0000","0.5700","0.5700","0.5700"
"2017/08/18","0.5706","1000.0000","0.5706","0.5706","0.5706"
"2017/08/17","0.5900","0.0000","0.5900","0.5900","0.5900"
"2017/08/16","0.5900","1600.0000","0.6100","0.6100","0.5900"
"2017/08/15","0.5882","1549.0000","0.5882","0.5882","0.5882"
"2017/08/14","0.6020","14725.0000","0.6100","0.6100","0.5958"
"2017/08/11","0.6020","813.0000","0.6000","0.6020","0.6000"
"2017/08/10","0.6000","2000.0000","0.6000","0.6000","0.6000"
"2017/08/09","0.6130","1420.0000","0.6130","0.6130","0.6130"
"2017/08/08","0.6100","940.0000","0.6300","0.6300","0.6100"
"2017/08/07","0.6200","805.0000","0.6254","0.6254","0.6200"
"2017/08/04","0.6100","4070.0000","0.6040","0.6100","0.6040"
"2017/08/03","0.6130","0.0000","0.6130","0.6130","0.6130"
"2017/08/02","0.6130","0.0000","0.6130","0.6130","0.6130"
"2017/08/01","0.6130","4000.0000","0.6100","0.6130","0.6100"
"2017/07/31","0.6095","5230.0000","0.6050","0.6095","0.6050"
"2017/07/28","0.6050","14543.0000","0.6050","0.6050","0.6050"
"2017/07/27","0.6330","7407.0000","0.6118","0.6330","0.6118"
"2017/07/26","0.6150","47000.0000","0.6150","0.6362","0.6150"
"2017/07/25","0.6296","5025.0000","0.6410","0.6410","0.6296"
"2017/07/24","0.6350","11022.0000","0.6350","0.6350","0.6350"
"2017/07/21","0.6450","2291.0000","0.6334","0.6500","0.6334"
"2017/07/20","0.6100","2528.0000","0.6270","0.6270","0.6100"
"2017/07/19","0.6350","9259.0000","0.6100","0.6350","0.6100"
"2017/07/18","0.6100","202685.0000","0.6100","0.6300","0.6100"
"2017/07/17","0.6300","19014.0000","0.6396","0.6396","0.6200"
"2017/07/14","0.6200","21325.0000","0.6140","0.6200","0.6100"
"2017/07/13","0.6200","5000.0000","0.6200","0.6200","0.6200"
