[
(date=u'2013-05-17', avgRating=4.1568627450980395, close=61.8943), 
(date=u'2013-05-20', avgRating=4.309523809523809, close=63.2757), 
(date=u'2013-05-21', avgRating=4.507246376811594, close=62.8086), 
(date=u'2013-05-22', avgRating=4.028169014084507, close=63.0506), 
(date=u'2013-05-23', avgRating=4.078431372549019, close=63.1628), 
(date=u'2013-05-24', avgRating=4.574074074074074, close=63.5928), 
(date=u'2013-05-28', avgRating=4.144578313253012, close=63.0627), 
(date=u'2013-05-29', avgRating=4.066666666666666, close=63.5643), 
(date=u'2013-05-30', avgRating=3.869565217391304, close=64.5114), 
(date=u'2013-05-31', avgRating=3.91025641025641, close=64.2478)]

real    8m2.960s
user    6m19.127s
sys     0m12.745s
